1651	433
1658	433
1658	434
1659	434
1659	435
1665	435
1665	436
1671	436
1671	437
1672	437
1672	438
1678	438
1678	439
1680	439
1680	440
1684	440
1684	441
1688	441
1688	442
1689	442
1689	441
1692	441
1692	442
1693	442
1693	443
1697	443
1697	444
1700	444
1700	445
1702	445
1702	446
1707	446
1707	445
1708	445
1708	446
1710	446
1710	447
1716	447
1716	448
1717	448
1717	449
1719	449
1719	450
1720	450
1720	449
1722	449
1722	450
1725	450
1725	451
1727	451
1727	452
1732	452
1732	453
1739	453
1739	454
1741	454
1741	455
1743	455
1743	456
1746	456
1746	457
1748	457
1748	458
1749	458
1749	459
1752	459
1752	460
1753	460
1753	461
1756	461
1756	463
1757	463
1757	465
1758	465
1758	466
1760	466
1760	467
1762	467
1762	469
1764	469
1764	470
1765	470
1765	471
1766	471
1766	473
1767	473
1767	475
1766	475
1766	476
1765	476
1765	480
1764	480
1764	483
1763	483
1763	487
1762	487
1762	488
1761	488
1761	492
1760	492
1760	493
1759	493
1759	497
1758	497
1758	498
1757	498
1757	499
1756	499
1756	500
1755	500
1755	504
1754	504
1754	515
1755	515
1755	516
1758	516
1758	515
1759	515
1759	516
1769	516
1769	515
1771	515
1771	516
1773	516
1773	517
1781	517
1781	518
1783	518
1783	519
1791	519
1791	520
1797	520
1797	521
1800	521
1800	522
1804	522
1804	523
1808	523
1808	524
1813	524
1813	525
1814	525
1814	526
1819	526
1819	527
1821	527
1821	528
1826	528
1826	529
1828	529
1828	530
1831	530
1831	531
1832	531
1832	532
1835	532
1835	533
1837	533
1837	535
1844	535
1844	536
1845	536
1845	537
1846	537
1846	538
1851	538
1851	540
1855	540
1855	541
1857	541
1857	542
1858	542
1858	543
1860	543
1860	544
1861	544
1861	545
1864	545
1864	546
1866	546
1866	547
1867	547
1867	548
1866	548
1866	549
1868	549
1868	550
1870	550
1870	551
1872	551
1872	557
1876	557
1876	558
1878	558
1878	560
1879	560
1879	562
1878	562
1878	563
1879	563
1879	565
1878	565
1878	567
1877	567
1877	568
1878	568
1878	569
1877	569
1877	570
1876	570
1876	571
1875	571
1875	572
1874	572
1874	575
1873	575
1873	577
1872	577
1872	578
1871	578
1871	580
1870	580
1870	582
1869	582
1869	585
1867	585
1867	587
1866	587
1866	589
1865	589
1865	590
1864	590
1864	593
1863	593
1863	594
1862	594
1862	595
1861	595
1861	597
1860	597
1860	608
1862	608
1862	609
1873	609
1873	610
1881	610
1881	611
1882	611
1882	610
1885	610
1885	611
1886	611
1886	612
1893	612
1893	613
1895	613
1895	614
1900	614
1900	615
1904	615
1904	617
1909	617
1909	618
1916	618
1916	620
1918	620
1918	621
1919	621
1919	622
1921	622
1921	623
1923	623
1923	624
1924	624
1924	625
1926	625
1926	626
1931	626
1931	627
1932	627
1932	629
1935	629
1935	630
1936	630
1936	631
1938	631
1938	632
1940	632
1940	633
1942	633
1942	634
1943	634
1943	635
1944	635
1944	636
1946	636
1946	637
1949	637
1949	639
1950	639
1950	640
1953	640
1953	641
1954	641
1954	642
1955	642
1955	643
1958	643
1958	644
1959	644
1959	645
1960	645
1960	646
1963	646
1963	647
1964	647
1964	648
1965	648
1965	649
1966	649
1966	650
1967	650
1967	651
1968	651
1968	652
1969	652
1969	653
1970	653
1970	654
1971	654
1971	656
1972	656
1972	657
1973	657
1973	658
1974	658
1974	661
1975	661
1975	662
1976	662
1976	663
1977	663
1977	664
1978	664
1978	666
1979	666
1979	668
1978	668
1978	670
1976	670
1976	671
1975	671
1975	672
1974	672
1974	673
1972	673
1972	676
1970	676
1970	679
1968	679
1968	680
1967	680
1967	681
1966	681
1966	683
1965	683
1965	684
1964	684
1964	685
1963	685
1963	686
1962	686
1962	687
1961	687
1961	688
1960	688
1960	689
1959	689
1959	690
1958	690
1958	691
1956	691
1956	693
1955	693
1955	695
1954	695
1954	696
1953	696
1953	698
1950	698
1950	699
1949	699
1949	704
1948	704
1948	705
1947	705
1947	718
1948	718
1948	719
1950	719
1950	720
1951	720
1951	719
1962	719
1962	720
1963	720
1963	721
1968	721
1968	722
1969	722
1969	723
1973	723
1973	724
1977	724
1977	725
1980	725
1980	726
1982	726
1982	727
1984	727
1984	728
1985	728
1985	729
1986	729
1986	730
1987	730
1987	731
1993	731
1993	733
1995	733
1995	734
1996	734
1996	735
1998	735
1998	736
2000	736
2000	737
2001	737
2001	738
2003	738
2003	739
2006	739
2006	740
2007	740
2007	741
2008	741
2008	742
2009	742
2009	744
2010	744
2010	745
2014	745
2014	748
2016	748
2016	749
2017	749
2017	752
2018	752
2018	753
2020	753
2020	754
2021	754
2021	755
2023	755
2023	756
2024	756
2024	759
2025	759
2025	760
2028	760
2028	762
2030	762
2030	763
2031	763
2031	764
2032	764
2032	767
2033	767
2033	768
2037	768
2037	772
2038	772
2038	773
2039	773
2039	775
2041	775
2041	776
2042	776
2042	779
2043	779
2043	780
2045	780
2045	781
2046	781
2046	786
2047	786
2047	790
2048	790
2048	791
2049	791
2049	792
2050	792
2050	796
2049	796
2049	797
2047	797
2047	801
2046	801
2046	802
2045	802
2045	803
2044	803
2044	804
2043	804
2043	805
2042	805
2042	806
2041	806
2041	808
2040	808
2040	809
2039	809
2039	812
2036	812
2036	813
2035	813
2035	814
2032	814
2032	817
2031	817
2031	818
2030	818
2030	819
2029	819
2029	822
2027	822
2027	823
2028	823
2028	824
2027	824
2027	833
2028	833
2028	834
2032	834
2032	835
2034	835
2034	836
2040	836
2040	839
2041	839
2041	838
2042	838
2042	839
2044	839
2044	840
2047	840
2047	841
2049	841
2049	842
2053	842
2053	843
2054	843
2054	844
2056	844
2056	845
2059	845
2059	846
2060	846
2060	847
2061	847
2061	848
2062	848
2062	851
2067	851
